FamilyName	StyleName	xHeight	CapHeight	Weight	Contrast	Lesser Thickness Slope	Superior Overshooting	Inferior Overshooting	Ascenders	Descenders	n Expansion	o Expansion	n/o Ratio	O Expansion	R Expansion	R/O Ratio	AltezzaMassimaH	PuntoMedioAstaOrizzontaleH	PuntoMedioAstaVerticaleT	AggettoSinistroT	AggettoDestroT	SimmetriaAggettiT	o Average Squaring	o Internal Squaring	o External Squaring	Bezier	Grazie	Spacing
Formata	Bold	540	1.3167	0.0019	0.59	0	0.013	0.0222	1.4852	-0.4657	0.3935	0.6315	0.62	0.8241	0.5524	0.67	707.5	0.5307	0.1335	10	35	False	0.6503	0.6579	0.6427	curve	Sans	Proportional
Formata	Bold Condensed	540	1.3167	0.35	0.61	-4	0.013	0.0222	1.4166	-0.3954	0.4084	0.5148	0.79	0.7037	0.5318	0.76	707.5	0.5293	0.3633	4	56	False	0.6454	0.6478	0.643	curve	Sans	Proportional
Formata	Condensed	522	1.3582	0.1858	0.67	-5	0.0153	0.0211	1.4502	-0.3994	0.4178	0.5958	0.7	0.8448	0.5333	0.63	707.5	0.5399	0.8026	103	5	True	0.6441	0.6553	0.6329	curve	Sans	Proportional
Formata	Light	514	1.3774	0.1206	0.77	-9	0.0195	0.0233	1.5077	-0.4514	0.3879	0.7685	0.5	1.1167	0.308	0.28	707	0.5431	0.011	2	212	False	0.6306	0.6234	0.6379	curve	Sans	Proportional
Formata	Light Condensed	513	1.3801	0.115	0.75	0	0.0195	0.0195	1.4697	-0.3957	0.3663	0.6179	0.59	0.9201	0.5589	0.61	707.5	0.5428	0.5018	172	2	True	0.6464	0.6436	0.6493	curve	Sans	Proportional
Formata	Medium	531	1.3409	0.307	0.59	2	0.0188	0.0226	1.4953	-0.468	0.2941	0.678	0.43	0.9021	0.4661	0.52	707.5	0.6198	0.4933	154	160	False	0.651	0.6552	0.6467	curve	Sans	Proportional
Formata	Medium Condensed	534	1.3296	0.2884	0.62	-4	0.0131	0.0206	1.4269	-0.397	0.3467	0.5346	0.65	0.7622	0.5406	0.71	707.5	0.5343	0.4979	2	6	False	0.6356	0.64	0.6312	curve	Sans	Proportional
Formata	Regular	524	1.3569	0.1966	0.68	1	0.0172	0.021	1.4904	-0.4685	0.6298	0.7357	0.86	1.0115	0.6826	0.67	707.5	0.4813	0.5734	190	118	True	0.6388	0.6263	0.6513	curve	Sans	Proportional
Adobe Caslon	Bold	422	1.6825	0.3152	0.28	-5	0.0284	0.0332	1.7464	-0.6481	0.7121	0.7536	0.94	1.4372	0.8046	0.56	709.5	0.5187	0.4919	94	90	True	0.6754	0.683	0.6678	curve	Serif	Proportional
Adobe Caslon	Regular	419	1.6945	0.1718	0.35	-14	0.0239	0.0286	1.7255	-0.6527	0.6635	0.8234	0.81	1.4916	0.8508	0.57	709.5	0.5215	0.4886	111	108	True	0.6471	0.6568	0.6373	curve	Serif	Proportional
